Date,Open,High,Low,Close,Volume
2021-03-26,717,717,717,717,0
2021-03-29,717,717,717,717,0
2021-03-30,717,717,717,717,0
2021-03-31,717,717,717,717,0
2021-04-01,717,717,717,717,0
2021-04-02,717,717,717,717,0
2021-04-05,717,717,717,717,0
2021-04-06,717,717,717,717,0
2021-04-07,717,717,717,717,0
2021-04-08,717,717,717,717,0
2021-04-09,717,717,717,717,0
2021-04-12,717,717,717,717,0
2021-04-13,717,717,717,717,0
2021-04-14,717,717,717,717,0
2021-04-15,717,717,717,717,0
2021-04-16,717,717,717,717,0
2021-04-19,717,717,717,717,0
2021-04-20,717,717,717,717,0
2021-04-21,717,717,717,717,0
2021-04-22,717,717,717,717,0
2021-04-23,717,717,717,717,0
2021-04-26,717,717,717,717,0
2021-04-27,717,717,717,717,0
2021-04-28,717,717,717,717,0
2021-04-29,717,717,717,717,0
2021-04-30,717,717,717,717,0
2021-05-03,717,717,717,717,0
2021-05-04,717,717,717,717,0
2021-05-06,717,717,717,717,0
2021-05-07,717,717,717,717,0
2021-05-10,717,717,717,717,0
2021-05-11,717,717,717,717,0
2021-05-12,717,717,717,717,0
2021-05-13,717,717,717,717,0
2021-05-14,717,717,717,717,0
2021-05-17,717,717,717,717,0
2021-05-18,717,717,717,717,0
2021-05-20,717,717,717,717,0
2021-05-21,717,717,717,717,0
2021-05-24,717,717,717,717,0
2021-05-25,717,717,717,717,0
2021-05-26,717,717,717,717,0
2021-05-27,717,717,717,717,0
2021-05-28,717,717,717,717,0
2021-05-31,717,717,717,717,0
2021-06-01,717,717,717,717,0
2021-06-02,3585,3585,3585,3585,0
2021-06-03,3585,3585,3585,3585,0
2021-06-04,3585,3585,3585,3585,0
2021-06-07,3585,3585,3585,3585,0
2021-06-08,3585,3585,3585,3585,0
2021-06-09,3585,3585,3585,3585,0
2021-06-10,3585,3585,3585,3585,0
2021-06-11,3585,3585,3585,3585,0
2021-06-14,3585,3585,3585,3585,0
2021-06-15,3585,3585,3585,3585,0
2021-06-16,3585,3585,3585,3585,0
2021-06-17,3585,3585,3585,3585,0
2021-06-18,3585,3585,3585,3585,0
2021-06-21,3585,3585,3585,3585,0
2021-06-22,3585,3585,3585,3585,0
2021-06-23,3585,3585,3585,3585,0
2021-06-24,3585,3585,3585,3585,0
2021-06-25,3585,3585,3585,3585,0
2021-06-28,3585,3585,3585,3585,0
2021-06-29,3585,3585,3585,3585,0
2021-06-30,3585,3585,3585,3585,0
2021-07-01,3585,3585,3585,3585,0
2021-07-02,3585,3585,3585,3585,0
2021-07-05,3585,3585,3585,3585,0
2021-07-06,3585,3585,3585,3585,0
2021-07-07,3585,3585,3585,3585,0
2021-07-08,3585,3585,3585,3585,0
2021-07-09,3585,3585,3585,3585,0
2021-07-12,3585,3585,3585,3585,0
2021-07-13,3585,3585,3585,3585,0
2021-07-14,3585,3585,3585,3585,0
2021-07-15,3585,3585,3585,3585,0
2021-07-16,3585,3585,3585,3585,0
2021-07-19,3585,3585,3585,3585,0
2021-07-20,3585,3585,3585,3585,0
2021-07-21,3585,3585,3585,3585,0
2021-07-22,3585,3585,3585,3585,0
2021-07-23,3585,3585,3585,3585,0
2021-07-26,3585,3585,3585,3585,0
2021-07-27,3585,3585,3585,3585,0
2021-07-28,3585,3585,3585,3585,0
2021-07-29,3585,3585,3585,3585,0
2021-07-30,3585,3585,3585,3585,0
2021-08-02,3585,3585,3585,3585,0
2021-08-03,3585,3585,3585,3585,0
2021-08-04,3585,3585,3585,3585,0
2021-08-05,3585,3585,3585,3585,0
2021-08-06,3585,3585,3585,3585,0
2021-08-09,3585,3585,3585,3585,0
2021-08-10,3585,3585,3585,3585,0
2021-08-11,3585,3585,3585,3585,0
2021-08-12,3585,3585,3585,3585,0
2021-08-13,3585,3585,3585,3585,0
2021-08-17,3585,3585,3585,3585,0
2021-08-18,3585,3585,3585,3585,0
2021-08-19,3585,3585,3585,3585,0
2021-08-20,3585,3585,3585,3585,0
2021-08-23,3585,3585,3585,3585,0
2021-08-24,3585,3585,3585,3585,0
2021-08-25,3585,3585,3585,3585,0
2021-08-26,3585,3585,3585,3585,0
2021-08-27,3585,3585,3585,3585,0
2021-08-30,3585,3585,3585,3585,0
2021-08-31,3585,3585,3585,3585,0
2021-09-01,3585,3585,3585,3585,0
2021-09-02,3585,3585,3585,3585,0
2021-09-03,3585,3585,3585,3585,0
2021-09-06,3585,3585,3585,3585,0
2021-09-07,3585,3585,3585,3585,0
2021-09-08,3585,3585,3585,3585,0
2021-09-09,3585,3585,3585,3585,0
2021-09-10,3585,3585,3585,3585,0
2021-09-13,3585,3585,3585,3585,0
2021-09-14,3585,3585,3585,3585,0
2021-09-15,3585,3585,3585,3585,0
2021-09-16,3585,3585,3585,3585,0
2021-09-17,3585,3585,3585,3585,0
2021-09-23,3585,3585,3585,3585,0
2021-09-24,3585,3585,3585,3585,0
2021-09-27,3585,3585,3585,3585,0
2021-09-28,3585,3585,3585,3585,0
2021-09-29,3585,3585,3585,3585,0
2021-09-30,3585,3585,3585,3585,0
2021-10-01,3585,3585,3585,3585,0
2021-10-05,3585,3585,3585,3585,0
2021-10-06,3585,3585,3585,3585,0
2021-10-07,3585,3585,3585,3585,0
2021-10-08,3585,3585,3585,3585,0
2021-10-12,3585,3585,3585,3585,0
2021-10-13,3585,3585,3585,3585,0
2021-10-14,3585,3585,3585,3585,0
2021-10-15,3585,3585,3585,3585,0
2021-10-18,3585,3585,3585,3585,0
2021-10-19,3585,3585,3585,3585,0
2021-10-20,3585,3585,3585,3585,0
2021-10-21,3585,3585,3585,3585,0
2021-10-22,3585,3585,3585,3585,0
2021-10-25,3585,3585,3585,3585,0
2021-10-26,3585,3585,3585,3585,0
2021-10-27,3585,3585,3585,3585,0
2021-10-28,3585,3585,3585,3585,0
2021-10-29,3585,3585,3585,3585,0
2021-11-01,3585,3585,3585,3585,0
2021-11-02,3585,3585,3585,3585,0
2021-11-03,3585,3585,3585,3585,0
2021-11-04,3585,3585,3585,3585,0
2021-11-05,3585,3585,3585,3585,0
2021-11-08,3585,3585,3585,3585,0
2021-11-09,3585,3585,3585,3585,0
2021-11-10,3585,3585,3585,3585,0
2021-11-11,3585,3585,3585,3585,0
2021-11-12,3585,3585,3585,3585,0
2021-11-15,3585,3585,3585,3585,0
2021-11-16,3585,3585,3585,3585,0
2021-11-17,3585,3585,3585,3585,0
2021-11-18,3585,3585,3585,3585,0
2021-11-19,3585,3585,3585,3585,0
2021-11-22,3585,3585,3585,3585,0
2021-11-23,3585,3585,3585,3585,0
2021-11-24,3585,3585,3585,3585,0
2021-11-25,3585,3585,3585,3585,0
2021-11-26,3585,3585,3585,3585,0
2021-11-29,3585,3585,3585,3585,0
2021-11-30,3585,3585,3585,3585,0
2021-12-01,3585,3585,3585,3585,0
2021-12-02,3585,3585,3585,3585,0
2021-12-03,3585,3585,3585,3585,0
2021-12-06,3585,3585,3585,3585,0
2021-12-07,3585,3585,3585,3585,0
2021-12-08,3585,3585,3585,3585,0
2021-12-09,3585,3585,3585,3585,0
2021-12-10,3585,3585,3585,3585,0
2021-12-13,3585,3585,3585,3585,0
2021-12-14,3585,3585,3585,3585,0
2021-12-15,3585,3585,3585,3585,0
2021-12-16,3585,3585,3585,3585,0
2021-12-17,3585,3585,3585,3585,0
2021-12-20,3585,3585,3585,3585,0
2021-12-21,3585,3585,3585,3585,0
2021-12-22,3585,3585,3585,3585,0
2021-12-23,3585,3585,3585,3585,0
2021-12-24,3585,3585,3585,3585,0
2021-12-27,3585,3585,3585,3585,0
2021-12-28,3585,3585,3585,3585,0
2021-12-29,3585,3585,3585,3585,0
2021-12-30,3585,3585,3585,3585,0
2022-01-03,3585,3585,3585,3585,0
2022-01-04,3585,3585,3585,3585,0
2022-01-05,3585,3585,3585,3585,0
2022-01-06,3585,3585,3585,3585,0
2022-01-07,3585,3585,3585,3585,0
2022-01-10,3585,3585,3585,3585,0
2022-01-11,3585,3585,3585,3585,0
2022-01-12,3585,3585,3585,3585,0
2022-01-13,3585,3585,3585,3585,0
2022-01-14,3585,3585,3585,3585,0
2022-01-17,3585,3585,3585,3585,0
2022-01-18,3585,3585,3585,3585,0
2022-01-19,3585,3585,3585,3585,0
2022-01-20,3585,3585,3585,3585,0
2022-01-21,3585,3585,3585,3585,0
2022-01-24,3585,3585,3585,3585,0
2022-01-25,3585,3585,3585,3585,0
2022-01-26,3585,3585,3585,3585,0
2022-01-27,3585,3585,3585,3585,0
2022-01-28,3585,3585,3585,3585,0
2022-02-03,3585,3585,3585,3585,0
2022-02-04,3585,3585,3585,3585,0
2022-02-07,3585,3585,3585,3585,0
2022-02-08,3585,3585,3585,3585,0
2022-02-09,3585,3585,3585,3585,0
2022-02-10,3585,3585,3585,3585,0
2022-02-11,3585,3585,3585,3585,0
2022-02-14,3585,3585,3585,3585,0
2022-02-15,3585,3585,3585,3585,0
2022-02-16,3585,3585,3585,3585,0
2022-02-17,3585,3585,3585,3585,0
2022-02-18,3585,3585,3585,3585,0
2022-02-21,3585,3585,3585,3585,0
2022-02-22,3585,3585,3585,3585,0
2022-02-23,3585,3585,3585,3585,0
2022-02-24,3585,3585,3585,3585,0
2022-02-25,3585,3585,3585,3585,0
2022-02-28,3585,3585,3585,3585,0
2022-03-02,3585,3585,3585,3585,0
2022-03-03,3585,3585,3585,3585,0
2022-03-04,3585,3585,3585,3585,0
2022-03-07,3585,3585,3585,3585,0
2022-03-08,3585,3585,3585,3585,0
2022-03-10,3585,3585,3585,3585,0
2022-03-11,3585,3585,3585,3585,0
2022-03-14,3585,3585,3585,3585,0
2022-03-15,3585,3585,3585,3585,0
2022-03-16,3585,3585,3585,3585,0
2022-03-17,3585,3585,3585,3585,0
2022-03-18,3585,3585,3585,3585,0
2022-03-21,3585,3585,3585,3585,0
2022-03-22,3585,3585,3585,3585,0
2022-03-23,3585,3585,3585,3585,0
2022-03-24,3585,3585,3585,3585,0
2022-03-25,3585,3585,3585,3585,0
2022-03-28,3585,3585,3585,3585,0
2022-03-29,3585,3585,3585,3585,0
2022-03-30,3585,3585,3585,3585,0
2022-03-31,3585,3585,3585,3585,0
2022-04-01,3585,3585,3585,3585,0
2022-04-04,3585,3585,3585,3585,0
2022-04-05,3585,3585,3585,3585,0
2022-04-06,3585,3585,3585,3585,0
2022-04-07,3585,3585,3585,3585,0
2022-04-08,3585,3585,3585,3585,0
2022-04-11,3585,3585,3585,3585,0
2022-04-12,3585,3585,3585,3585,0
2022-04-13,3585,3585,3585,3585,0
2022-04-14,3585,3585,3585,3585,0
2022-04-15,3585,3585,3585,3585,0
2022-04-18,3585,3585,3585,3585,0
2022-04-19,3585,3585,3585,3585,0
2022-04-20,3585,3585,3585,3585,0
2022-04-21,3585,3585,3585,3585,0
2022-04-22,3585,3585,3585,3585,0
2022-04-25,3585,3585,3585,3585,0
2022-04-26,3585,3585,3585,3585,0
2022-04-27,3585,3585,3585,3585,0
2022-04-28,3585,3585,3585,3585,0
2022-04-29,3585,3585,3585,3585,0
2022-05-02,3585,3585,3585,3585,0
2022-05-03,3585,3585,3585,3585,0
2022-05-04,3585,3585,3585,3585,0
2022-05-06,3585,3585,3585,3585,0
2022-05-09,3585,3585,3585,3585,0
2022-05-10,3585,3585,3585,3585,0
2022-05-11,3585,3585,3585,3585,0
2022-05-12,3585,3585,3585,3585,0
2022-05-13,3585,3585,3585,3585,0
2022-05-16,3585,3585,3585,3585,0
2022-05-17,3585,3585,3585,3585,0
